"1162","https://app.leg.wa.gov/billsummary?BillNumber=1162&Year=2021&Initiative=false","Substitute - SHB 1162","Hsubst for"
"2021 REGULAR SESSION","Jan 12 2021","First reading, referred to Education.","0"
"2021 REGULAR SESSION","Jan 22 2021","Public hearing in the House Committee on Education at 10:00 AM.","10"
"2021 REGULAR SESSION","Feb 4 2021","Executive action taken in the House Committee on Education at 1:30 PM. ED - Majority; 1st substitute bill be substituted, do pass. Minority; do not pass. Minority; without recommendation.","23"
"2021 REGULAR SESSION","Feb 9 2021","Referred to Rules 2 Review.","28"
"2021 REGULAR SESSION","Feb 23 2021","Rules Committee relieved of further consideration. Placed on second reading.","42"
"2021 REGULAR SESSION","Feb 25 2021","1st substitute bill substituted Rules suspended. Placed on Third Reading. Third reading, passed; yeas, 72; nays, 26; absent, 0; excused, 0.","44"
"IN THE SENATE","Mar 1 2021","First reading, referred to Early Learning & K-12 Education.","48"
"IN THE SENATE","Mar 17 2021","Public hearing in the Senate Committee on Early Learning & K-12 Education at 10:30 AM.","64"
"IN THE SENATE","Mar 19 2021","Executive session scheduled, but no action was taken in the Senate Committee on Early Learning & K-12 Education at 8:00 AM.","66"
"IN THE SENATE","Apr 25 2021","By resolution, returned to House Rules Committee for third reading.","103"
"2022 REGULAR SESSION","Jan 10 2022","Rules Committee relieved of further consideration. Referred to Education.","363"
"2022 REGULAR SESSION","Jan 11 2022","Public hearing in the House Committee on Education at 8:00 AM.","364"
"2022 REGULAR SESSION","Jan 21 2022","Executive action taken in the House Committee on Education at 10:00 AM. ED - Majority; 2nd substitute bill be substituted, do pass. Minority; do not pass. Minority; without recommendation.","374"
"2022 REGULAR SESSION","Jan 26 2022","Referred to Rules 2 Review.","379"
"2022 REGULAR SESSION","Feb 14 2022","Rules Committee relieved of further consideration. Placed on second reading. 2nd substitute bill substituted Floor amendment Rules suspended. Placed on Third Reading. Third reading, passed; yeas, 77; nays, 21; absent, 0; excused, 0.","398"
"IN THE SENATE","Feb 16 2022","First reading, referred to Early Learning & K-12 Education.","400"
"IN THE SENATE","Feb 21 2022","Public hearing in the Senate Committee on Early Learning & K-12 Education at 1:30 PM.","405"
"IN THE SENATE","Feb 23 2022","Executive session scheduled, but no action was taken in the Senate Committee on Early Learning & K-12 Education at 10:30 AM.","407"
"IN THE SENATE","Mar 10 2022","By resolution, returned to House Rules Committee for third reading.","422","76"
