"HOMES AND HOUSING","Accessory dwelling units, city/county adoption of model code requirements for, incentives","https://app.leg.wa.gov/billsummary?BillNumber=1337&Year=2021&Initiative=false","HB 1337","Local Govt","['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Concerning accessory dwelling units.","Gregerson, Barkis, Fitzgibbon, Chambers, Peterson, Davis, Gilday, Bateman, Callan, Eslick, Young, Harris-Talley, Macri","No Requester"
"HOMES AND HOUSING","Accessory dwelling units, city/county policies to encourage construction of, to meet affordable housing goals","https://app.leg.wa.gov/billsummary?BillNumber=1220&Year=2021&Initiative=false","Engrossed 2nd Substitute - E2SHB 1220","254 L 21","['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']","Supporting emergency shelters and housing through local planning and development regulations.","Peterson, Macri, Bateman, Ryu, Lekanoff, Fitzgibbon, Kloba, Davis, Lovick, Santos, Ortiz-Self, Simmons, Berg, Hackney, Chopp, Tharinger, Frame","No Requester"
"HOMES AND HOUSING","Accessory dwelling units, construction of, property tax exemption, when","https://app.leg.wa.gov/billsummary?BillNumber=5033&Year=2021&Initiative=false","Substitute - SSB 5033","Ways & Means","['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Limiting the property tax exemption for improvements to single-family dwellings to the construction of accessory dwelling units.","Kuderer, Saldaña, Das, Nguyen, Wilson, C.","No Requester"
"HOMES AND HOUSING","Accessory dwelling units, detached, when located outside of urban growth areas, requirements","https://app.leg.wa.gov/billsummary?BillNumber=5221&Year=2021&Initiative=false","SB 5221","Housing & Loca","['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Concerning regulation of accessory dwelling units located outside of urban growth areas.","Gildon, Liias, Darneille, Das, Kuderer, Nguyen, Nobles, Short, Warnick","No Requester"
"HOMES AND HOUSING","Accessory dwelling units, housing unit on same lot as, primarily renter-occupied","https://app.leg.wa.gov/billsummary?BillNumber=5235&Year=2021&Initiative=false","Engrossed Substitute - ESSB 5235","306 L 21","['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']","Increasing housing unit inventory by removing arbitrary limits on housing options.","Liias, Das, Nguyen, Nobles, Saldaña, Wilson, C.","No Requester"
"HOMES AND HOUSING","Accessory dwelling units, in urban growth areas, allowing construction of and removing barriers to","https://app.leg.wa.gov/billsummary?BillNumber=1660&Year=2021&Initiative=false","Engrossed Substitute - ESHB 1660","Rules 3C","['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Concerning accessory dwelling units.","Shewmake, Ryu, Fitzgibbon, Ramel, Bateman, Gregerson, Goodman, Macri, Peterson, Simmons, Bergquist, Tharinger, Kloba, Pollet, Ormsby","No Requester"
"HOMES AND HOUSING","Accessory dwelling units, low-income rental, as physical improvements to single-family dwellings, property tax exemption, when","https://app.leg.wa.gov/billsummary?BillNumber=1841&Year=2021&Initiative=false","Engrossed Substitute - ESHB 1841","Rules 3C","['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Incentivizing rental of accessory dwelling units to low-income households.","Walen, Springer, Goodman, Shewmake, Wylie, Slatter, Duerr, Riccelli, Ormsby","No Requester"
"HOMES AND HOUSING","Accessory dwelling units, occupant limits in relation to short-term rentals and relevant to","https://app.leg.wa.gov/billsummary?BillNumber=5648&Year=2021&Initiative=false","SB 5648","Housing & Loca","['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Concerning accessory dwelling units.","Liias, Gildon, Das, Kuderer, Nguyen, Saldaña, Stanford","No Requester"
"HOMES AND HOUSING","Affordable housing advisory board, membership, increasing","https://app.leg.wa.gov/billsummary?BillNumber=1724&Year=2021&Initiative=false","Substitute - SHB 1724","266 L 22","['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']","Ensuring oversight and coordination of permanent supportive housing resources to maximize the creation of high quality housing opportunities for people living with disabling conditions in communities across Washington.","Macri, Ryu, Berry, Taylor, Wicks, Valdez, Morgan, Bateman, Davis, Goodman, Gregerson, Peterson, Santos, Simmons, Chopp, Pollet, Stonier, Ormsby, Harris-Talley, Kloba","No Requester"
"HOMES AND HOUSING","Affordable housing and sustainable housing, enacting programs under GMA for","https://app.leg.wa.gov/billsummary?BillNumber=2020&Year=2021&Initiative=false","Substitute - SHB 2020","Approps","['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Concerning the creation of affordable and sustainable housing in the state.","Walen, Fitzgibbon, Leavitt, Ramel, Ryu, Macri, Bateman, Lekanoff, Pollet","No Requester"
"HOMES AND HOUSING","Affordable housing, adjusting UGA boundaries for sufficient housing-suitable land","https://app.leg.wa.gov/billsummary?BillNumber=5685&Year=2021&Initiative=false","SB 5685","Housing & Loca","['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Concerning urban growth area boundaries.","Fortunato, Padden","No Requester"
"HOMES AND HOUSING","Affordable housing, all types of, housing element and planning requirements under GMA","https://app.leg.wa.gov/billsummary?BillNumber=1981&Year=2021&Initiative=false","Substitute - SHB 1981","Rules C","['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Concerning local government planning.","Pollet, Ryu, Santos","No Requester"
"HOMES AND HOUSING","Affordable housing, condominium conversion tenant-to-homeowner program, implementing","https://app.leg.wa.gov/billsummary?BillNumber=5758&Year=2021&Initiative=false","Engrossed Substitute - ESSB 5758","165 L 22","['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']","Concerning condominium conversions.","Gildon, Rivers","No Requester"
"HOMES AND HOUSING","Affordable housing, county acquisition of emergency, transitional, or supportive","https://app.leg.wa.gov/billsummary?BillNumber=1070&Year=2021&Initiative=false","Engrossed Substitute - ESHB 1070","27 L 21","['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']","Modifying allowed uses of local tax revenue for affordable housing and related services to include the acquisition and construction of affordable housing and facilities.","Ryu, Macri, Walen, Chopp, Santos, Fitzgibbon, Ramel, Wylie, Ramos, Bateman, Tharinger, Simmons, Kloba, Peterson, Gregerson, Goodman, Sells, Bronoske, Valdez, Callan, Hackney, Cody, Ormsby, Riccelli, Springer, Fey, Davis, Pollet, Harris-Talley","No Requester"
"HOMES AND HOUSING","Affordable housing, defining for purposes of intergovernmental disposition of surplus public property","https://app.leg.wa.gov/billsummary?BillNumber=1511&Year=2021&Initiative=false","HB 1511","Hous, Human Sv","['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Defining affordable housing for purposes of using surplus public property for public benefit.","Bergquist, Taylor, Santos, Thai, Ormsby, Slatter, Hackney, Lekanoff","No Requester"
"HOMES AND HOUSING","Affordable housing, development consultants for rural communities assistance for, contracts with","https://app.leg.wa.gov/billsummary?BillNumber=5375&Year=2021&Initiative=false","Substitute - SSB 5375","Rules X","['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Concerning a study of the differences in low-income housing development in urban and rural locations.","Warnick, Fortunato, Rolfes, Van De Wege, Wilson, J.","No Requester"
"HOMES AND HOUSING","Affordable housing, development in rural and urban locations, differences between, studying","https://app.leg.wa.gov/billsummary?BillNumber=5375&Year=2021&Initiative=false","Substitute - SSB 5375","Rules X","['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Concerning a study of the differences in low-income housing development in urban and rural locations.","Warnick, Fortunato, Rolfes, Van De Wege, Wilson, J.","No Requester"
"HOMES AND HOUSING","Affordable housing, duplexes/townhomes/cottage apartments/accessory dwelling units in certain areas","https://app.leg.wa.gov/billsummary?BillNumber=1981&Year=2021&Initiative=false","Substitute - SHB 1981","Rules C","['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Concerning local government planning.","Pollet, Ryu, Santos","No Requester"
"HOMES AND HOUSING","Affordable housing, duplexes/triplexes/quadplexes/sixplexes/townhouses/cottage clusters in certain areas","https://app.leg.wa.gov/billsummary?BillNumber=5269&Year=2021&Initiative=false","Substitute - SSB 5269","Ways & Means","['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Including the value of increased residential building capacity in the property tax levy limit calculation.","Das, Liias, Kuderer, Nobles, Salomon, Wellman, Wilson, C.","No Requester"
"HOMES AND HOUSING","Affordable housing, eliminating a financial institution B&O tax deduction to fund","https://app.leg.wa.gov/billsummary?BillNumber=5138&Year=2021&Initiative=false","SB 5138","Business, Fina","['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Eliminating a business and occupation tax deduction for financial institutions to fund affordable housing.","Kuderer, Hasegawa, Das, Nguyen, Saldaña, Salomon, Wilson, C.","No Requester"
