name,party,representative
Peter Abbarno,R,representative
Andrew Barkis,R,representative
Jessica Bateman,D,representative
April Berg,D,representative
Steve Bergquist,D,representative
Liz Berry,D,representative
Matt Boehnke,R,representative
Dan Bronoske,D,representative
Michelle Caldier,R,representative
Lisa Callan,D,representative
Kelly Chambers,R,representative
Bruce Chandler,R,representative
Mike Chapman,D,representative
Rob Chase,R,representative
Frank Chopp,D,representative
Eileen Cody,D,representative
Chris Corry,R,representative
Lauren Davis,D,representative
Tom Dent,R,representative
Laurie Dolan,D,representative
Brandy Donaghy,D,representative
Davina Duerr,D,representative
Jeremie Dufault,R,representative
Mary Dye,R,representative
Debra Entenman,D,representative
Carolyn Eslick,R,representative
Jake Fey,D,representative
Joe Fitzgibbon,D,representative
Noel Frame,D,representative
Greg Gilday,R,representative
Keith Goehner,R,representative
Roger Goodman,D,representative
Jenny Graham,R,representative
Mia Gregerson,D,representative
Dan Griffey,R,representative
David Hackney,D,representative
Drew Hansen,D,representative
Paul Harris,R,representative
Kirsten Harris-Talley,D,representative
Larry Hoff,R,representative
Cyndy Jacobsen,R,representative
Laurie Jinkins,D,representative
Jesse Johnson,D,representative
Steve Kirby,D,representative
Mark Klicker,R,representative
Brad Klippert,R,representative
Shelley Kloba,D,representative
Vicki Kraft,R,representative
Joel Kretz,R,representative
Mari Leavitt,D,representative
Debra Lekanoff,D,representative
Drew MacEwen,R,representative
Nicole Macri,D,representative
Jacquelin Maycumber,R,representative
Bob McCaslin,R,representative
Joel McEntire,R,representative
Melanie Morgan,D,representative
Gina Mosbrucker,R,representative
Ed Orcutt,R,representative
Timm Ormsby,D,representative
Lillian Ortiz-Self,D,representative
Tina Orwall,D,representative
Dave Paul,D,representative
Strom Peterson,D,representative
Gerry Pollet,D,representative
Alex Ramel,D,representative
Bill Ramos,D,representative
Marcus Riccelli,D,representative
Eric Robertson,R,representative
Skyler Rude,R,representative
Alicia Rule,D,representative
Cindy Ryu,D,representative
Sharon Tomiko Santos,D,representative
Joe Schmick,R,representative
Mike Sells,D,representative
Tana Senn,D,representative
Sharon Shewmake,D,representative
Tarra Simmons,D,representative
Vandana Slatter,D,representative
Larry Springer,D,representative
Mike Steele,R,representative
Drew Stokesbary,R,representative
Monica Jurado Stonier,D,representative
Pat Sullivan,D,representative
Robert Sutherland,R,representative
Jamila Taylor,D,representative
My-Linh Thai,D,representative
Steve Tharinger,D,representative
Javier Valdez,D,representative
Brandon Vick,R,representative
Mike Volz,R,representative
Amy Walen,D,representative
Jim Walsh,R,representative
Emily Wicks,D,representative
J.T. Wilcox,R,representative
Sharon Wylie,D,representative
Alex Ybarra,R,representative
Jesse Young,R,representative
name,party,senator
Andy Billig,D,senator
John Braun,R,senator
Sharon Brown,R,senator
Reuven Carlyle,D,senator
Annette Cleveland,D,senator
Steve Conway,D,senator
Mona Das,D,senator
Manka Dhingra,D,senator
Perry Dozier,R,senator
Phil Fortunato,R,senator
David Frockt,D,senator
Chris Gildon,R,senator
Bob Hasegawa,D,senator
Brad Hawkins,R,senator
Jeff Holy,R,senator
Jim Honeyford,R,senator
Sam Hunt,D,senator
Karen Keiser,D,senator
Curtis King,R,senator
Patty Kuderer,D,senator
Marko Liias,D,senator
Liz Lovelett,D,senator
John Lovick,D,senator
Jim McCune,R,senator
Mark Mullet,D,senator
Ron Muzzall,R,senator
Joe Nguyen,D,senator
T'wina Nobles,D,senator
Mike Padden,R,senator
Jamie Pedersen,D,senator
Emily Randall,D,senator
Ann Rivers,R,senator
June Robinson,D,senator
Christine Rolfes,D,senator
Rebecca Saldaña,D,senator
Jesse Salomon,D,senator
Mark Schoesler,R,senator
Simon Sefzik,R,senator
Tim Sheldon,D,senator
Shelly Short,R,senator
Derek Stanford,D,senator
Yasmin Trudeau,D,senator
Kevin Van De Wege,D,senator
Keith Wagoner,R,senator
Judy Warnick,R,senator
Lisa Wellman,D,senator
Claire Wilson,D,senator
Jeff Wilson,R,senator
Lynda Wilson,R,senator
