main_topic,description_1,bill_link,bill_name,current_status,first_house_progress,second_house_progress,after_passage_progress,description_2,sponsors,requester,democrat_sponsor_count,republican_sponsor_count
COVID-19 AND CORONAVIRUS,"Accounts, coronavirus state fiscal recovery fund, appropriating moneys for convention economy grants from",https://app.leg.wa.gov/billsummary?BillNumber=1879&Year=2021&Initiative=false,HB 1879,HApprops,"['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Providing Washington state convention economy grants.,"Ryu, Berry, Riccelli, Frame, Macri",Secretary of State,5,0
COVID-19 AND CORONAVIRUS,"Accounts, coronavirus state fiscal recovery fund, appropriating moneys for convention economy grants from",https://app.leg.wa.gov/billsummary?BillNumber=5770&Year=2021&Initiative=false,Substitute - SSB 5770,SWays & Means,"['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Providing Washington state convention economy grants.,"Mullet, Frockt",Secretary of State,2,0
COVID-19 AND CORONAVIRUS,"Accounts, coronavirus state fiscal recovery fund, reenacting",https://app.leg.wa.gov/billsummary?BillNumber=5616&Year=2021&Initiative=false,2nd Substitute - 2SSB 5616,C 157 L 22,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Concerning accounts.,Rolfes,Office of Financial Management,1,0
COVID-19 AND CORONAVIRUS,"Accounts, coronavirus state fiscal recovery fund, reenacting",https://app.leg.wa.gov/billsummary?BillNumber=5616&Year=2021&Initiative=false,2nd Substitute - 2SSB 5616,C 157 L 22,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Concerning accounts.,Rolfes,Office of Financial Management,1,0
COVID-19 AND CORONAVIRUS,"Accounts, coronavirus state fiscal recovery fund, reenacting",https://app.leg.wa.gov/billsummary?BillNumber=5616&Year=2021&Initiative=false,2nd Substitute - 2SSB 5616,C 157 L 22,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Concerning accounts.,Rolfes,Office of Financial Management,1,0
COVID-19 AND CORONAVIRUS,"Accounts, COVID-19 K-12 response account, creating to support school efforts to respond to pandemic",https://app.leg.wa.gov/billsummary?BillNumber=1334&Year=2021&Initiative=false,HB 1334,HApprops,"['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Making appropriations to revive our economy and accelerate a lasting recovery for Washington.,"Stokesbary, Klippert, Caldier, Maycumber, Boehnke, Vick, Schmick, Barkis, Walsh, Robertson, Eslick, Graham, MacEwen, Gilday, Chambers, Jacobsen",No Requester,0,16
COVID-19 AND CORONAVIRUS,"Accounts, COVID-19 public health response account, creating for statewide response to pandemic",https://app.leg.wa.gov/billsummary?BillNumber=1334&Year=2021&Initiative=false,HB 1334,HApprops,"['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Making appropriations to revive our economy and accelerate a lasting recovery for Washington.,"Stokesbary, Klippert, Caldier, Maycumber, Boehnke, Vick, Schmick, Barkis, Walsh, Robertson, Eslick, Graham, MacEwen, Gilday, Chambers, Jacobsen",No Requester,0,16
COVID-19 AND CORONAVIRUS,"Accounts, COVID-19 public health response account, creating for statewide response to pandemic",https://app.leg.wa.gov/billsummary?BillNumber=1368&Year=2021&Initiative=false,Engrossed Substitute - ESHB 1368,C 3 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Responding to the COVID-19 pandemic through state actions supported by federal funding.,"Ormsby, Macri, Ramos, Callan, Gregerson, Berry, Sullivan, Leavitt, Duerr, Bergquist, Kloba, Riccelli, Ramel, Harris-Talley, Pollet",No Requester,16,1
COVID-19 AND CORONAVIRUS,"Accounts, COVID-19 public health response account, creating for statewide response to pandemic",https://app.leg.wa.gov/billsummary?BillNumber=1368&Year=2021&Initiative=false,Engrossed Substitute - ESHB 1368,C 3 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Responding to the COVID-19 pandemic through state actions supported by federal funding.,"Ormsby, Macri, Ramos, Callan, Gregerson, Berry, Sullivan, Leavitt, Duerr, Bergquist, Kloba, Riccelli, Ramel, Harris-Talley, Pollet",No Requester,16,1
COVID-19 AND CORONAVIRUS,"Accounts, COVID-19 public health response account, creating for statewide response to pandemic",https://app.leg.wa.gov/billsummary?BillNumber=5344&Year=2021&Initiative=false,SB 5344,SWays & Means,"['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Responding to the COVID-19 pandemic through state actions supported by federal funding.,"Rolfes, Robinson, Billig, Dhingra, Nguyen, Nobles, Randall, Saldaña",No Requester,8,0
COVID-19 AND CORONAVIRUS,"Accounts, COVID-19 public health response account, reenacting",https://app.leg.wa.gov/billsummary?BillNumber=5616&Year=2021&Initiative=false,2nd Substitute - 2SSB 5616,C 157 L 22,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Concerning accounts.,Rolfes,Office of Financial Management,1,0
COVID-19 AND CORONAVIRUS,"Accounts, COVID-19 public health response account, reenacting",https://app.leg.wa.gov/billsummary?BillNumber=5616&Year=2021&Initiative=false,2nd Substitute - 2SSB 5616,C 157 L 22,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Concerning accounts.,Rolfes,Office of Financial Management,1,0
COVID-19 AND CORONAVIRUS,"Accounts, COVID-19 public health response account, reenacting",https://app.leg.wa.gov/billsummary?BillNumber=5616&Year=2021&Initiative=false,2nd Substitute - 2SSB 5616,C 157 L 22,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Concerning accounts.,Rolfes,Office of Financial Management,1,0
COVID-19 AND CORONAVIRUS,"Accounts, recovery rebate account, creating department of revenue remittances to low-income persons",https://app.leg.wa.gov/billsummary?BillNumber=1334&Year=2021&Initiative=false,HB 1334,HApprops,"['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Making appropriations to revive our economy and accelerate a lasting recovery for Washington.,"Stokesbary, Klippert, Caldier, Maycumber, Boehnke, Vick, Schmick, Barkis, Walsh, Robertson, Eslick, Graham, MacEwen, Gilday, Chambers, Jacobsen",No Requester,0,16
COVID-19 AND CORONAVIRUS,"Accounts, statewide pandemic preparation and response task force account, creating",https://app.leg.wa.gov/billsummary?BillNumber=1340&Year=2021&Initiative=false,Substitute - SHB 1340,HApprops,"['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Concerning creation of the statewide pandemic preparation and response task force.,"Lovick, Harris, Fitzgibbon, Ryu, Taylor, Wicks, Dolan, Ramel, Valdez, Leavitt, Goodman, Jesse Johnson, Chopp, Orwall, Santos, Peterson, Gregerson, Shewmake, Davis, Ormsby, Berg, Bronoske, Duerr, Fey, Bateman, Lekanoff, Senn, Callan, Frame, Pollet, Harris-Talley, Macri",No Requester,30,1
COVID-19 AND CORONAVIRUS,"Accounts, Washington rescue plan transition account, reenacting",https://app.leg.wa.gov/billsummary?BillNumber=5616&Year=2021&Initiative=false,2nd Substitute - 2SSB 5616,C 157 L 22,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Concerning accounts.,Rolfes,Office of Financial Management,1,0
COVID-19 AND CORONAVIRUS,"Accounts, Washington rescue plan transition account, reenacting",https://app.leg.wa.gov/billsummary?BillNumber=5616&Year=2021&Initiative=false,2nd Substitute - 2SSB 5616,C 157 L 22,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Concerning accounts.,Rolfes,Office of Financial Management,1,0
COVID-19 AND CORONAVIRUS,"Accounts, Washington rescue plan transition account, reenacting",https://app.leg.wa.gov/billsummary?BillNumber=5616&Year=2021&Initiative=false,2nd Substitute - 2SSB 5616,C 157 L 22,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Concerning accounts.,Rolfes,Office of Financial Management,1,0
COVID-19 AND CORONAVIRUS,"Aid and relief, qualifying grants for, B&O/public utility tax exemptions",https://app.leg.wa.gov/billsummary?BillNumber=1002&Year=2021&Initiative=false,HB 1002,HFinance,"['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Providing a business and occupation tax exemption for qualifying grants related to COVID-19 relief.,"Walen, Ryu, Wicks, Leavitt, Boehnke, Shewmake, Ortiz-Self, Lekanoff, Duerr, Orcutt, Corry, Slatter, Wylie, Tharinger, Ramel, Senn, Goodman, Callan, Graham, Ramos, Hackney, Vick, Robertson, Kirby, Paul, Barkis, Riccelli, Springer, Stonier, Fey, Santos, Stokesbary, Rule",No Requester,23,8
COVID-19 AND CORONAVIRUS,"Aid and relief, qualifying grants for, B&O/public utility/retail sales tax exemptions",https://app.leg.wa.gov/billsummary?BillNumber=1095&Year=2021&Initiative=false,Substitute - SHB 1095,C 4 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']","Concerning the taxation of governmental financial assistance programs addressing the impacts of conditions giving rise to a gubernatorial or presidential emergency proclamation by creating state business and occupation tax and state public utility tax exemptions, a sales and use tax exemption for the receipt of such financial assistance, and clarifying the sales and use tax obligations for goods and services purchased by recipients of such financial assistance.","Walen, Boehnke, Ryu, Leavitt, Corry, Wicks, Tharinger, Ortiz-Self, Callan, Graham, Fey, Frame, Stokesbary, Orwall, Rule, Bergquist, Pollet",Department of Revenue,14,4
COVID-19 AND CORONAVIRUS,"Aid and relief, qualifying grants for, B&O/public utility/retail sales tax exemptions",https://app.leg.wa.gov/billsummary?BillNumber=1095&Year=2021&Initiative=false,Substitute - SHB 1095,C 4 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']","Concerning the taxation of governmental financial assistance programs addressing the impacts of conditions giving rise to a gubernatorial or presidential emergency proclamation by creating state business and occupation tax and state public utility tax exemptions, a sales and use tax exemption for the receipt of such financial assistance, and clarifying the sales and use tax obligations for goods and services purchased by recipients of such financial assistance.","Walen, Boehnke, Ryu, Leavitt, Corry, Wicks, Tharinger, Ortiz-Self, Callan, Graham, Fey, Frame, Stokesbary, Orwall, Rule, Bergquist, Pollet",Department of Revenue,14,4
