main_topic,description_1,bill_link,bill_name,current_status,house_progress,senate_progress,after_passage_progress,description_2,sponsors,requester,democrat_sponsor_count,republican_sponsor_count
COMPUTERS,"Advanced computing businesses of affiliated group, workforce education investment surcharge on, application of",https://app.leg.wa.gov/billsummary?BillNumber=5799&Year=2021&Initiative=false,Substitute - SSB 5799,170 L 22,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Modifying the application of the workforce education investment surcharge to provider clinics and affiliated organizations.,"Robinson, Lovick",No Requester,2,0
COMPUTERS,"Advanced computing businesses of affiliated group, workforce education investment surcharge on, increasing account funds caps",https://app.leg.wa.gov/billsummary?BillNumber=1504&Year=2021&Initiative=false,Engrossed 2nd Substitute - E2SHB 1504,170 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Modifying the workforce education investment act.,"Chopp, Simmons, Berry, Davis, Valdez, Wylie, Jesse Johnson, Ryu, Tharinger, Taylor, Goodman, Bergquist, Ramel, Peterson, Senn, Dolan, Ormsby, Duerr, Macri, Kloba, Callan, Morgan, Stonier, Pollet, Riccelli, Thai",No Requester,26,0
COMPUTERS,"Blockchain technology/applications, Washington blockchain work group, establishing",https://app.leg.wa.gov/billsummary?BillNumber=5544&Year=2021&Initiative=false,Engrossed Substitute - ESSB 5544,226 L 22,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Establishing the Washington blockchain work group.,"Brown, Dozier, Frockt, Hasegawa, Mullet, Rolfes, Short, Wagoner, Wellman, Linda Wilson",No Requester,6,6
COMPUTERS,"Broadband access, in unserved areas, grant/loan program for, emergency public works broadband projects",https://app.leg.wa.gov/billsummary?BillNumber=5580&Year=2021&Initiative=false,Substitute - SSB 5580,Rules X,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Concerning broadband infrastructure loans and grants made by the public works board.,"Wellman, Mullet, Frockt, Kuderer, Nguyen, Warnick, Claire Wilson",Public Works Board,6,3
COMPUTERS,"Broadband access, in unserved areas, grant/loan program for, various modifications",https://app.leg.wa.gov/billsummary?BillNumber=1673&Year=2021&Initiative=false,Engrossed Substitute - ESHB 1673,201 L 22,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Concerning broadband infrastructure loans and grants made by the public works board.,"Ryu, Donaghy, Leavitt, Boehnke, Eslick, Rule, Kloba, Wylie, Ortiz-Self, Dolan, Taylor, Frame",Public Works Board,10,2
COMPUTERS,"Broadband access, increasing in unserved areas, competitive grant program for, establishing",https://app.leg.wa.gov/billsummary?BillNumber=5357&Year=2021&Initiative=false,Engrossed Substitute - ESSB 5357,Rules X,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Establishing and making appropriations for the capital broadband investment acceleration program.,"Honeyford, King, Wagoner, Wellman, Linda Wilson",No Requester,2,5
COMPUTERS,"Broadband fiber connections, missing, and inadequate service in underserved areas, addressing via highways",https://app.leg.wa.gov/billsummary?BillNumber=5439&Year=2021&Initiative=false,Engrossed Substitute - ESSB 5439,Rules X,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Facilitating the coordinated installation of broadband along state highways.,"Saldaña, Kuderer, Lovelett, Nguyen",No Requester,4,0
COMPUTERS,"Broadband fiber connections, missing, and inadequate service in unserved/underserved areas, addressing via highways",https://app.leg.wa.gov/billsummary?BillNumber=1457&Year=2021&Initiative=false,Engrossed Substitute - ESHB 1457,258 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Facilitating the installation of broadband facilities on limited access highways.,"Wylie, Riccelli, Kloba, Santos, Slatter, Shewmake, Ramel, Hackney",No Requester,7,0
COMPUTERS,"Broadband fiber deployment, microtrenching for, city-town-county authority to allow",https://app.leg.wa.gov/billsummary?BillNumber=5775&Year=2021&Initiative=false,SB 5775,"Environment, E","['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Concerning the acceleration of broadband deployment.,"Wellman, Short, Conway, Lovelett, Lovick, Nguyen, Nobles, Claire Wilson",No Requester,7,3
COMPUTERS,"Broadband infrastructure, capital broadband investment acceleration program, creating",https://app.leg.wa.gov/billsummary?BillNumber=5357&Year=2021&Initiative=false,Engrossed Substitute - ESSB 5357,Rules X,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Establishing and making appropriations for the capital broadband investment acceleration program.,"Honeyford, King, Wagoner, Wellman, Linda Wilson",No Requester,2,5
