main_topic,description_1,bill_link,bill_name,current_status,house_progress,senate_progress,after_passage_progress,description_2,sponsors,requester,democrat_sponsor_count,republican_sponsor_count
MENTAL HEALTH,"Advance directives, mental health, for behavioral health disorder treatment",https://app.leg.wa.gov/billsummary?BillNumber=5370&Year=2021&Initiative=false,Engrossed Substitute - ESSB 5370,287 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Updating mental health advance directive laws.,"Keiser, Dhingra, Saldaña, Claire Wilson",No Requester,4,2
MENTAL HEALTH,"Advance directives, mental health, persons involuntarily committed",https://app.leg.wa.gov/billsummary?BillNumber=5073&Year=2021&Initiative=false,Substitute - SSB 5073,264 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Concerning involuntary commitment.,"Dhingra, Das, Kuderer, Salomon, Warnick, Claire Wilson",No Requester,5,3
MENTAL HEALTH,"Agricultural workers, with mental health stresses/suicidal thoughts, agricultural community mental health hotlines for",https://app.leg.wa.gov/billsummary?BillNumber=1434&Year=2021&Initiative=false,HB 1434,HC/Wellness,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Concerning agricultural community mental health hotline services.,"Dent, Orwall, Sutherland, Chambers, Graham, Klicker, Dufault, Lovick, Peterson, Volz, Jesse Johnson, Schmick, Valdez, Mosbrucker, Hoff, Callan, Barkis, Klippert, Chandler, Eslick, Boehnke, Rule, Pollet",No Requester,8,15
MENTAL HEALTH,"Behavioral health administrative services organizations, community-based programs, establishing",https://app.leg.wa.gov/billsummary?BillNumber=1578&Year=2021&Initiative=false,HB 1578,Approps,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Responding to the State v. Blake decision.,"Goodman, Simmons, Ryu, Hackney, Macri, Davis, Ramel, Bateman, Lekanoff, Pollet",No Requester,10,0
MENTAL HEALTH,"Behavioral health administrative services organizations, partial hospitalization/intensive outpatient programs for minors",https://app.leg.wa.gov/billsummary?BillNumber=5736&Year=2021&Initiative=false,2nd Substitute - 2SSB 5736,94 L 22,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Concerning partial hospitalizations and intensive outpatient treatment services for minors.,"Frockt, Dhingra, Conway, Hasegawa, Honeyford, Keiser, Kuderer, Lovelett, Lovick, Nobles, Randall, Salomon, Stanford",No Requester,12,1
MENTAL HEALTH,"Behavioral health administrative services organizations, providing treatment services, B&O tax deduction for",https://app.leg.wa.gov/billsummary?BillNumber=1296&Year=2021&Initiative=false,HB 1296,124 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Providing a business and occupation tax preference for behavioral health administrative services organizations.,"Young, Thai, Robertson, Rule",No Requester,2,2
MENTAL HEALTH,"Behavioral health care, children in DCYF custody through child welfare services",https://app.leg.wa.gov/billsummary?BillNumber=1205&Year=2021&Initiative=false,HB 1205,Approps,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Paying for health care for children in the custody of the department of children, youth, and families.","Caldier, Dent, Eslick",No Requester,0,3
MENTAL HEALTH,"Behavioral health consumer advocacy, state office of, establishing",https://app.leg.wa.gov/billsummary?BillNumber=1086&Year=2021&Initiative=false,Engrossed 2nd Substitute - E2SHB 1086,202 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Creating the state office of behavioral health consumer advocacy.,"Simmons, Caldier, Bateman, Ortiz-Self, Shewmake, Ryu, Chopp, Cody, Goodman, Fey, Stonier, Macri, Fitzgibbon, Frame, Davis",No Requester,13,1
MENTAL HEALTH,"Behavioral health consumer advocacy, state office of, increasing minors' access to services",https://app.leg.wa.gov/billsummary?BillNumber=1800&Year=2021&Initiative=false,Substitute - SHB 1800,134 L 22,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Increasing access to behavioral health services for minors.,"Eslick, Callan, Leavitt, Davis, Dent, Goodman, Ramos, Rule, Santos, Senn, Wylie, Tharinger, Stonier, Frame",No Requester,10,2
MENTAL HEALTH,"Behavioral health consumer advocacy, state office of, statewide advisory council, adding member to",https://app.leg.wa.gov/billsummary?BillNumber=1800&Year=2021&Initiative=false,Substitute - SHB 1800,134 L 22,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Increasing access to behavioral health services for minors.,"Eslick, Callan, Leavitt, Davis, Dent, Goodman, Ramos, Rule, Santos, Senn, Wylie, Tharinger, Stonier, Frame",No Requester,10,2
