REAL ESTATE AND REAL PROPERTY,"Blockchain technology/applications, Washington blockchain work group, establishing",https://app.leg.wa.gov/billsummary?BillNumber=5544&Year=2021&Initiative=false,Engrossed Substitute - ESSB 5544,226 L 22,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Establishing the Washington blockchain work group.,"Brown, Dozier, Frockt, Hasegawa, Mullet, Rolfes, Short, Wagoner, Wellman, Wilson, L.",No Requester
REAL ESTATE AND REAL PROPERTY,"Brokers, buyer unfair practice letter/other communications, not presenting to seller if seller instructs broker not to",https://app.leg.wa.gov/billsummary?BillNumber=2059&Year=2021&Initiative=false,Engrossed Substitute - ESHB 2059,Rules 3C,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Concerning real estate agency law, but only to clarify that the statutory duties of real estate brokers apply to all parties and prohibiting the delivery of buyer unfair practice letters to the seller of residential real estate.","Gregerson, Leavitt, Morgan, Vick, Gilday, Rude, Chapman, Barkis, Lekanoff",No Requester
REAL ESTATE AND REAL PROPERTY,"Brokers, license renewals, continuing education, to include fair housing education/unfair practices prevention",https://app.leg.wa.gov/billsummary?BillNumber=5378&Year=2021&Initiative=false,Substitute - SSB 5378,288 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Concerning real estate brokers and managing brokers license renewal requirements.,"Das, Nobles, Hasegawa, Lovelett, Randall, Saldaña, Wilson, C.",No Requester
REAL ESTATE AND REAL PROPERTY,"Brokers, payment of commissions by firms/brokers to, requirements and violations",https://app.leg.wa.gov/billsummary?BillNumber=5050&Year=2021&Initiative=false,SB 5050,"Business, Fina","['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Concerning real estate firms and brokers.,Hasegawa,No Requester
REAL ESTATE AND REAL PROPERTY,"Brokers, statutory duties of, owing not only to those to whom they render brokerage services but to all parties",https://app.leg.wa.gov/billsummary?BillNumber=2059&Year=2021&Initiative=false,Engrossed Substitute - ESHB 2059,Rules 3C,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Concerning real estate agency law, but only to clarify that the statutory duties of real estate brokers apply to all parties and prohibiting the delivery of buyer unfair practice letters to the seller of residential real estate.","Gregerson, Leavitt, Morgan, Vick, Gilday, Rude, Chapman, Barkis, Lekanoff",No Requester
REAL ESTATE AND REAL PROPERTY,"Commissions, payment by firms/brokers to their brokers, requirements and violations",https://app.leg.wa.gov/billsummary?BillNumber=5050&Year=2021&Initiative=false,SB 5050,"Business, Fina","['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Concerning real estate firms and brokers.,Hasegawa,No Requester
REAL ESTATE AND REAL PROPERTY,"Common interest communities, foreclosure of lien on unit for owner unpaid assessments, when",https://app.leg.wa.gov/billsummary?BillNumber=1482&Year=2021&Initiative=false,Engrossed - EHB 1482,222 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Addressing foreclosure protections for homeowners in common interest communities.,"Walsh, Orwall, Lekanoff, Leavitt, Sutherland, Jacobsen, Dufault, Pollet",No Requester
REAL ESTATE AND REAL PROPERTY,"Dampers, fire and/or smoke, inspection/testing of, alternative to certain contractors/engineers for",https://app.leg.wa.gov/billsummary?BillNumber=5360&Year=2021&Initiative=false,SB 5360,Housing & Loca,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Concerning the inspection and testing of fire and smoke control systems.,"Cleveland, Short, Salomon",No Requester
REAL ESTATE AND REAL PROPERTY,"Dampers, fire and/or smoke, installation/inspection/maintenance/testing of",https://app.leg.wa.gov/billsummary?BillNumber=1971&Year=2021&Initiative=false,Substitute - SHB 1971,Rules C,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Concerning installation, inspection, testing, and maintenance of smoke control systems and fire dampers, smoke dampers, and combination fire and smoke dampers.","Robertson, Senn, Eslick, Leavitt",No Requester
REAL ESTATE AND REAL PROPERTY,"Deeds of trust, surcharge for recording of, delaying expiration of",https://app.leg.wa.gov/billsummary?BillNumber=1104&Year=2021&Initiative=false,HB 1104,31 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']","Extending the operation of the mortgage lending fraud prosecution account until June 30, 2027.","Ryu, Kloba",Department of Financial Institutions
REAL ESTATE AND REAL PROPERTY,"Deeds/covenants, existing, racial/other restrictions against protected classes in, as void, striking of",https://app.leg.wa.gov/billsummary?BillNumber=1335&Year=2021&Initiative=false,Engrossed 2nd Substitute - E2SHB 1335,256 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Concerning review and property owner notification of recorded documents with unlawful racial restrictions.,"Valdez, Rude, Berry, Fitzgibbon, Morgan, Santos, Shewmake, Davis, Berg, Gilday, Bergquist, Fey, Bateman, Lekanoff, Lovick, Callan, Riccelli, Rule, Pollet, Senn, Harris-Talley",No Requester
