main_topic,description_1,bill_link,bill_name,current_status,house_progress,senate_progress,after_passage_progress,description_2,sponsors,requester,democrat_sponsor_count,republican_sponsor_count
TAXES - PROPERTY,"Collection of taxes, during public health crises, modifications for continuity of operations",https://app.leg.wa.gov/billsummary?BillNumber=1271&Year=2021&Initiative=false,Engrossed - EHB 1271,122 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Ensuring continuity of operations in the offices of county elected officials during the current COVID-19 pandemic and future public health crises.,"Orwall, Goehner, Goodman, Thai, Fey, Pollet, Harris-Talley",No Requester,6,2
TAXES - PROPERTY,"Conservation futures, property tax levy provisions",https://app.leg.wa.gov/billsummary?BillNumber=1672&Year=2021&Initiative=false,HB 1672,Finance,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Concerning local property tax levies for conservation futures.,"Wylie, Fitzgibbon",No Requester,2,0
TAXES - PROPERTY,"Delinquent taxes, interest assessed prior to payment agreement on, due and payable",https://app.leg.wa.gov/billsummary?BillNumber=1410&Year=2021&Initiative=false,Engrossed Substitute - ESHB 1410,257 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Protecting taxpayers from home foreclosure.,"Volz, Valdez, Ybarra, Stokesbary, Chase, Dufault, Leavitt, Vick, Dolan, Sutherland, Walen, Chambers, Walsh, Robertson, Caldier, Griffey, Riccelli, Jacobsen, Fitzgibbon, Ormsby, Harris-Talley",No Requester,8,14
TAXES - PROPERTY,"Delinquent taxes, interest rate for, reducing, when",https://app.leg.wa.gov/billsummary?BillNumber=1410&Year=2021&Initiative=false,Engrossed Substitute - ESHB 1410,257 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Protecting taxpayers from home foreclosure.,"Volz, Valdez, Ybarra, Stokesbary, Chase, Dufault, Leavitt, Vick, Dolan, Sutherland, Walen, Chambers, Walsh, Robertson, Caldier, Griffey, Riccelli, Jacobsen, Fitzgibbon, Ormsby, Harris-Talley",No Requester,8,14
TAXES - PROPERTY,"Delinquent taxes, penalties on, eliminating",https://app.leg.wa.gov/billsummary?BillNumber=1410&Year=2021&Initiative=false,Engrossed Substitute - ESHB 1410,257 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Protecting taxpayers from home foreclosure.,"Volz, Valdez, Ybarra, Stokesbary, Chase, Dufault, Leavitt, Vick, Dolan, Sutherland, Walen, Chambers, Walsh, Robertson, Caldier, Griffey, Riccelli, Jacobsen, Fitzgibbon, Ormsby, Harris-Talley",No Requester,8,14
TAXES - PROPERTY,"Delinquent taxes, penalties on, eliminating, when",https://app.leg.wa.gov/billsummary?BillNumber=1410&Year=2021&Initiative=false,Engrossed Substitute - ESHB 1410,257 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Protecting taxpayers from home foreclosure.,"Volz, Valdez, Ybarra, Stokesbary, Chase, Dufault, Leavitt, Vick, Dolan, Sutherland, Walen, Chambers, Walsh, Robertson, Caldier, Griffey, Riccelli, Jacobsen, Fitzgibbon, Ormsby, Harris-Talley",No Requester,8,14
TAXES - PROPERTY,"Fees, penalty for late filing of exemption application or renewal declaration, repealing",https://app.leg.wa.gov/billsummary?BillNumber=5113&Year=2021&Initiative=false,SB 5113,State Govt & E,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Making statutory changes to align with certain recent gubernatorial emergency orders to protect privacy, reduce regulatory burdens, and provide tax relief.",Fortunato,No Requester,0,1
TAXES - PROPERTY,"Game lands, DFW, payments to counties in lieu of property taxes",https://app.leg.wa.gov/billsummary?BillNumber=5159&Year=2021&Initiative=false,SB 5159,184 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Concerning payments in lieu of real property taxes by the department of the fish and wildlife.,"Warnick, Van De Wege, Short",No Requester,1,2
TAXES - PROPERTY,"Interest/penalties suspension and payment extensions/tax deferral, due to COVID emergency",https://app.leg.wa.gov/billsummary?BillNumber=5402&Year=2021&Initiative=false,SB 5402,Ways & Means,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Concerning property tax deferral during the COVID-19 pandemic.,"Mullet, Kuderer",No Requester,2,0
TAXES - PROPERTY,"Interest/penalties, for delinquent taxes, applicability to personal property",https://app.leg.wa.gov/billsummary?BillNumber=1982&Year=2021&Initiative=false,Engrossed - EHB 1982,143 L 22,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Clarifying the applicability of penalty and interest on personal property taxes.,"Volz, Caldier, Wylie, Graham",No Requester,1,3
