"TAX PREFERENCES - EXEMPTIONS, CREDITS, DEDUCTIONS, DEFERRALS, ETC.","Accessory dwelling units, construction of, property tax exemption, when",https://app.leg.wa.gov/billsummary?BillNumber=5033&Year=2021&Initiative=false,Substitute - SSB 5033,Ways & Means,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Limiting the property tax exemption for improvements to single-family dwellings to the construction of accessory dwelling units.,"Kuderer, Saldaña, Das, Nguyen, Wilson, C.",No Requester
"TAX PREFERENCES - EXEMPTIONS, CREDITS, DEDUCTIONS, DEFERRALS, ETC.","Accessory dwelling units, low-income rental, as physical improvements to single-family dwellings, property tax exemption, when",https://app.leg.wa.gov/billsummary?BillNumber=1841&Year=2021&Initiative=false,Engrossed Substitute - ESHB 1841,Rules 3C,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Incentivizing rental of accessory dwelling units to low-income households.,"Walen, Springer, Goodman, Shewmake, Wylie, Slatter, Duerr, Riccelli, Ormsby",No Requester
"TAX PREFERENCES - EXEMPTIONS, CREDITS, DEDUCTIONS, DEFERRALS, ETC.","Adult family homes, for persons with developmental disabilities, nonprofit-owned property for, property tax exemption",https://app.leg.wa.gov/billsummary?BillNumber=5935&Year=2021&Initiative=false,SB 5935,Health & Long,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Establishing a property tax exemption for adult family homes serving people with intellectual or developmental disabilities and owned by a nonprofit.,"Mullet, Holy, Lovick, Nguyen, Robinson",No Requester
"TAX PREFERENCES - EXEMPTIONS, CREDITS, DEDUCTIONS, DEFERRALS, ETC.","Affordable housing, multi-family property tax exemption for multi-unit residential structures and units converted to",https://app.leg.wa.gov/billsummary?BillNumber=5832&Year=2021&Initiative=false,Engrossed - ESB 5832,Rules 3,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Expanding the multifamily tax exemption program to include converting existing multifamily units.,"Das, Fortunato, Dhingra, Keiser, Kuderer, Lovelett, Nobles, Salomon, Wagoner, Wilson, C.",No Requester
"TAX PREFERENCES - EXEMPTIONS, CREDITS, DEDUCTIONS, DEFERRALS, ETC.","Airplanes/components, commercial, manufacturers/processors for hire of, lowering B&O tax rate",https://app.leg.wa.gov/billsummary?BillNumber=5957&Year=2021&Initiative=false,SB 5957,Ways & Means,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Reducing the business and occupation tax rate on manufacturing activities.,"Mullet, Wilson, L., Lovick, Short",No Requester
"TAX PREFERENCES - EXEMPTIONS, CREDITS, DEDUCTIONS, DEFERRALS, ETC.","Airplanes/components, commercial, manufacturers/processors for hire of, lowering B&O tax rate to 0.00",https://app.leg.wa.gov/billsummary?BillNumber=5769&Year=2021&Initiative=false,SB 5769,"Business, Fina","['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Reforming the state tax system by providing tax relief to residents, employees, and employers.","Wilson, L., Braun, Brown, Dozier, Fortunato, Gildon, Hawkins, Holy, Honeyford, King, McCune, Muzzall, Padden, Rivers, Sheldon, Short, Warnick, Wilson, J.",No Requester
"TAX PREFERENCES - EXEMPTIONS, CREDITS, DEDUCTIONS, DEFERRALS, ETC.","Alternative fuel vehicles and electric vehicles, certain tax preferences involving, role of general fund in supporting",https://app.leg.wa.gov/billsummary?BillNumber=5974&Year=2021&Initiative=false,Engrossed Substitute - ESSB 5974,182 L 22,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Addressing transportation resources.,"Liias, Saldaña, Carlyle, Cleveland, Das, Dhingra, Hunt, Kuderer, Lovelett, Lovick, Mullet, Nguyen, Nobles, Salomon, Trudeau, Wellman, Wilson, C.",No Requester
"TAX PREFERENCES - EXEMPTIONS, CREDITS, DEDUCTIONS, DEFERRALS, ETC.","Alternative fuel vehicles, various tax preferences for",https://app.leg.wa.gov/billsummary?BillNumber=5974&Year=2021&Initiative=false,Engrossed Substitute - ESSB 5974,182 L 22,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Addressing transportation resources.,"Liias, Saldaña, Carlyle, Cleveland, Das, Dhingra, Hunt, Kuderer, Lovelett, Lovick, Mullet, Nguyen, Nobles, Salomon, Trudeau, Wellman, Wilson, C.",No Requester
"TAX PREFERENCES - EXEMPTIONS, CREDITS, DEDUCTIONS, DEFERRALS, ETC.","Annexation sales tax credit, qualifying by annexing unincorporated territory within urban growth area",https://app.leg.wa.gov/billsummary?BillNumber=5368&Year=2021&Initiative=false,2nd Substitute - 2SSB 5368,312 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Encouraging rural economic development.,"Short, Fortunato, Wilson, L.",No Requester
"TAX PREFERENCES - EXEMPTIONS, CREDITS, DEDUCTIONS, DEFERRALS, ETC.","Annexation sales tax credit, qualifying by annexing unincorporated territory within urban growth area, when",https://app.leg.wa.gov/billsummary?BillNumber=5368&Year=2021&Initiative=false,2nd Substitute - 2SSB 5368,312 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Encouraging rural economic development.,"Short, Fortunato, Wilson, L.",No Requester
"TAX PREFERENCES - EXEMPTIONS, CREDITS, DEDUCTIONS, DEFERRALS, ETC.","Bad debts of buyers, B&O tax deduction and sales/use tax credit/refund for sellers for, narrowing",https://app.leg.wa.gov/billsummary?BillNumber=1539&Year=2021&Initiative=false,HB 1539,Rules R,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Narrowing the business and occupation tax deduction, and sales and use tax credit and refund, for bad debts available to sellers.",Frame,Department of Revenue
"TAX PREFERENCES - EXEMPTIONS, CREDITS, DEDUCTIONS, DEFERRALS, ETC.","Behavioral health administrative services organizations, B&O tax deduction for",https://app.leg.wa.gov/billsummary?BillNumber=1296&Year=2021&Initiative=false,HB 1296,124 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Providing a business and occupation tax preference for behavioral health administrative services organizations.,"Young, Thai, Robertson, Rule",No Requester
"TAX PREFERENCES - EXEMPTIONS, CREDITS, DEDUCTIONS, DEFERRALS, ETC.","Bowling alleys, proprietors of, making retail sales, B&O tax preferential rate",https://app.leg.wa.gov/billsummary?BillNumber=1299&Year=2021&Initiative=false,HB 1299,Finance,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Providing business and occupation tax relief to the hospitality industry.,"Vick, Stokesbary, Robertson, Chapman, Sutherland, Walen, Jacobsen, Santos, Chambers, Barkis",No Requester
"TAX PREFERENCES - EXEMPTIONS, CREDITS, DEDUCTIONS, DEFERRALS, ETC.","Breast pumps/repair/parts/supplies, sales and use tax exemptions",https://app.leg.wa.gov/billsummary?BillNumber=1535&Year=2021&Initiative=false,HB 1535,Finance,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Exempting family and household necessities from the sales and use tax.,"Stokesbary, Robertson, Dufault, Jacobsen, Sutherland, Walsh, Eslick, Harris-Talley",No Requester
"TAX PREFERENCES - EXEMPTIONS, CREDITS, DEDUCTIONS, DEFERRALS, ETC.","Broadband service, providing to unserved areas via infrastructure, tax credits against capital costs",https://app.leg.wa.gov/billsummary?BillNumber=5110&Year=2021&Initiative=false,SB 5110,"Environment, E","['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Promoting greater access to the internet by modifying permitting, taxation, and other standards for telecommunications companies and facilities.",Ericksen,No Requester
