main_topic,description_1,bill_link,bill_name,current_status,house_progress,senate_progress,after_passage_progress,description_2,sponsors,requester,democrat_sponsor_count,republican_sponsor_count
TELECOMMUNICATIONS,"911 advisory committee, re-creating for 911 implementation and operation throughout state",https://app.leg.wa.gov/billsummary?BillNumber=5571&Year=2021&Initiative=false,SB 5571,State Govt & E,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Modernizing the statewide 911 emergency communications system.,"Stanford, Sheldon, Das, Hunt, Keiser, Lovick, Mullet, Saldaña, Claire Wilson",Military Department,9,2
TELECOMMUNICATIONS,"911 excise tax, deposits into 911 account for 911 emergency communications system network",https://app.leg.wa.gov/billsummary?BillNumber=5571&Year=2021&Initiative=false,SB 5571,State Govt & E,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Modernizing the statewide 911 emergency communications system.,"Stanford, Sheldon, Das, Hunt, Keiser, Lovick, Mullet, Saldaña, Claire Wilson",Military Department,9,2
TELECOMMUNICATIONS,"911 statewide emergency communications system, modernizing to next generation 911 system",https://app.leg.wa.gov/billsummary?BillNumber=5571&Year=2021&Initiative=false,SB 5571,State Govt & E,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Modernizing the statewide 911 emergency communications system.,"Stanford, Sheldon, Das, Hunt, Keiser, Lovick, Mullet, Saldaña, Claire Wilson",Military Department,9,2
TELECOMMUNICATIONS,"911, enhanced service, state coordination office, 988 crisis hotline system role of",https://app.leg.wa.gov/billsummary?BillNumber=5209&Year=2021&Initiative=false,SB 5209,Behavioral Hea,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Enhancing and expanding behavioral health and suicide prevention crisis response services.,"Dhingra, Darneille, Das, Keiser, Kuderer, Lovelett, Randall, Conway, Frockt, Hasegawa, Liias, Nguyen, Pedersen, Wagoner, Claire Wilson",No Requester,13,3
TELECOMMUNICATIONS,"911, enhanced service, state coordination office, 988 crisis hotline/call center hubs/crisis system role of",https://app.leg.wa.gov/billsummary?BillNumber=1477&Year=2021&Initiative=false,Engrossed 2nd Substitute - E2SHB 1477,302 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Implementing the national 988 system to enhance and expand behavioral health crisis response and suicide prevention services.,"Orwall, Davis, Ortiz-Self, Callan, Simmons, Jesse Johnson, Goodman, Ryu, Ormsby, Valdez, Frame, Berg, Bergquist, Harris-Talley, Chopp, Macri, Peterson, Pollet",No Requester,18,1
TELECOMMUNICATIONS,"911, enhanced service, state coordination office, certification board in, establishing",https://app.leg.wa.gov/billsummary?BillNumber=5555&Year=2021&Initiative=false,Substitute - SSB 5555,286 L 22,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Concerning public safety telecommunicators.,"Van De Wege, Hunt, Mullet, Randall",No Requester,4,0
TELECOMMUNICATIONS,"911, state coordination office, certification board in, establishing",https://app.leg.wa.gov/billsummary?BillNumber=5555&Year=2021&Initiative=false,Substitute - SSB 5555,286 L 22,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Concerning public safety telecommunicators.,"Van De Wege, Hunt, Mullet, Randall",No Requester,4,0
TELECOMMUNICATIONS,"988 crisis hotline, coordination with crisis call center hubs and behavioral health crisis response system",https://app.leg.wa.gov/billsummary?BillNumber=1477&Year=2021&Initiative=false,Engrossed 2nd Substitute - E2SHB 1477,302 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Implementing the national 988 system to enhance and expand behavioral health crisis response and suicide prevention services.,"Orwall, Davis, Ortiz-Self, Callan, Simmons, Jesse Johnson, Goodman, Ryu, Ormsby, Valdez, Frame, Berg, Bergquist, Harris-Talley, Chopp, Macri, Peterson, Pollet",No Requester,18,1
TELECOMMUNICATIONS,"988 crisis hotline, coordination with crisis hotline centers, 911 systems, and behavioral health crisis system",https://app.leg.wa.gov/billsummary?BillNumber=5209&Year=2021&Initiative=false,SB 5209,Behavioral Hea,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Enhancing and expanding behavioral health and suicide prevention crisis response services.,"Dhingra, Darneille, Das, Keiser, Kuderer, Lovelett, Randall, Conway, Frockt, Hasegawa, Liias, Nguyen, Pedersen, Wagoner, Claire Wilson",No Requester,13,3
TELECOMMUNICATIONS,"988 crisis hotline, nationwide phone number, use by veterans/military members/family members",https://app.leg.wa.gov/billsummary?BillNumber=1181&Year=2021&Initiative=false,Engrossed 2nd Substitute - E2SHB 1181,191 L 22,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Establishing programs and measures to prevent suicide among veterans and military members.,"Orwall, Boehnke, Callan, Leavitt, Davis, Dolan, Valdez, Young, Riccelli, Lekanoff, Barkis, Peterson, Shewmake, Bronoske, Macri, Morgan",No Requester,13,3
TELECOMMUNICATIONS,"988 crisis system program, repealing 988 line tax and funding from general fund",https://app.leg.wa.gov/billsummary?BillNumber=5816&Year=2021&Initiative=false,SB 5816,Health & Long,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Repealing the statewide 988 behavioral health crisis response and suicide prevention line tax and funding the program through the state general fund.,"Wagoner, Short",No Requester,0,2
TELECOMMUNICATIONS,"988 suicide prevention hotline, on signs for certain public works projects",https://app.leg.wa.gov/billsummary?BillNumber=1600&Year=2021&Initiative=false,HB 1600,Cap Budget,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Concerning the installation of signs displaying the 988 national suicide prevention and mental health crisis hotline.,"Abbarno, Jesse Johnson, Dent, Orwall, Berry, Eslick, Valdez, Callan, Davis, Peterson, Santos, Simmons, Wylie, Griffey, Frame",No Requester,10,4
TELECOMMUNICATIONS,"988 suicide prevention hotline, on signs on or near new bridges, when",https://app.leg.wa.gov/billsummary?BillNumber=5673&Year=2021&Initiative=false,Substitute - SSB 5673,Rules X,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Installing signs on or near bridges to provide information to deter jumping.,"Braun, Dozier, Gildon, Liias, Mullet, Muzzall, Randall, Van De Wege, Jeff Wilson",No Requester,5,6
