main_topic,description_1,bill_link,bill_name,current_status,house_progress,senate_progress,after_passage_progress,description_2,sponsors,requester,democrat_sponsor_count,republican_sponsor_count
UNEMPLOYMENT COMPENSATION,"Benefits, eligibility for, good cause reasons for voluntarily leaving work",https://app.leg.wa.gov/billsummary?BillNumber=5064&Year=2021&Initiative=false,Substitute - SSB 5064,"Labor, Comm &","['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Concerning qualifications for unemployment insurance when an individual voluntarily leaves work.,"Saldaña, Claire Wilson, Das, Hasegawa, Keiser, Kuderer, Lovelett, Nguyen, Stanford",No Requester,9,2
UNEMPLOYMENT COMPENSATION,"Benefits, eligibility for, when not fully vaccinated then terminated from or left work due to COVID vaccination mandate",https://app.leg.wa.gov/billsummary?BillNumber=5864&Year=2021&Initiative=false,SB 5864,"Labor, Comm &","['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Concerning unemployment eligibility for certain unvaccinated employees.,"Linda Wilson, Dozier, Fortunato, Holy, Padden, Short, Wagoner, Jeff Wilson",No Requester,1,8
UNEMPLOYMENT COMPENSATION,"Benefits, expanding eligibility for health care employees during pandemic, when",https://app.leg.wa.gov/billsummary?BillNumber=5190&Year=2021&Initiative=false,Engrossed Substitute - ESSB 5190,251 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Providing health care workers with presumptive benefits during a public health emergency.,"Holy, Frockt, Conway, Hasegawa, Honeyford, Keiser, King, Lovelett, Randall, Salomon, Van De Wege, Warnick, Claire Wilson, Jeff Wilson",No Requester,9,6
UNEMPLOYMENT COMPENSATION,"Benefits, extended, benefit and eligibility periods and job search requirements",https://app.leg.wa.gov/billsummary?BillNumber=5425&Year=2021&Initiative=false,Substitute - SSB 5425,107 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Concerning extended benefits in the unemployment insurance system.,"Stanford, Das, Hasegawa, Keiser, Kuderer, Nguyen, Saldaña",Employment Security Department,7,0
UNEMPLOYMENT COMPENSATION,"Benefits, for volunteer firefighters, deduction of payments for services from benefit payments, prohibiting",https://app.leg.wa.gov/billsummary?BillNumber=1448&Year=2021&Initiative=false,HB 1448,Labor & Workpl,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Prohibiting the deduction of payments to volunteer firefighters from unemployment insurance benefits.,"Mosbrucker, Griffey, Sutherland, Graham, Dent, Volz, Jacobsen",No Requester,0,7
UNEMPLOYMENT COMPENSATION,"Benefits, forgiven, for certain employers, reimbursement by newly created unemployment insurance relief account",https://app.leg.wa.gov/billsummary?BillNumber=5478&Year=2021&Initiative=false,Engrossed Substitute - ESSB 5478,292 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Concerning unemployment insurance relief for certain employers.,"Keiser, Mullet, Billig, Cleveland, Conway, Das, Hunt, King, Kuderer, Liias, Lovelett, Nguyen, Randall, Rolfes, Saldaña, Stanford, Van De Wege, Claire Wilson, Jeff Wilson",No Requester,17,3
UNEMPLOYMENT COMPENSATION,"Benefits, forgiven, for certain employers, reimbursement of UC fund by newly created unemployment insurance relief account for",https://app.leg.wa.gov/billsummary?BillNumber=5478&Year=2021&Initiative=false,Engrossed Substitute - ESSB 5478,292 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Concerning unemployment insurance relief for certain employers.,"Keiser, Mullet, Billig, Cleveland, Conway, Das, Hunt, King, Kuderer, Liias, Lovelett, Nguyen, Randall, Rolfes, Saldaña, Stanford, Van De Wege, Claire Wilson, Jeff Wilson",No Requester,17,3
UNEMPLOYMENT COMPENSATION,"Benefits, paid, not charging to employer account or employer during emergency, when",https://app.leg.wa.gov/billsummary?BillNumber=5061&Year=2021&Initiative=false,Engrossed Substitute - ESSB 5061,2 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Concerning unemployment insurance.,"Keiser, Conway, Billig, Dhingra, King, Nguyen, Saldaña, Stanford, Claire Wilson",Office of the Governor,8,3
UNEMPLOYMENT COMPENSATION,"Benefits, paid, reimbursing from COVID-19 unemployment account, when",https://app.leg.wa.gov/billsummary?BillNumber=1021&Year=2021&Initiative=false,HB 1021,Labor & Workpl,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Concerning relief of benefit charges when discharge is a result of a gubernatorial declaration of emergency or related executive order.,"MacEwen, Eslick, Young, Graham",No Requester,0,4
UNEMPLOYMENT COMPENSATION,"Benefits, presumptive, expanding eligibility for health care employees during pandemic",https://app.leg.wa.gov/billsummary?BillNumber=5190&Year=2021&Initiative=false,Engrossed Substitute - ESSB 5190,251 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Providing health care workers with presumptive benefits during a public health emergency.,"Holy, Frockt, Conway, Hasegawa, Honeyford, Keiser, King, Lovelett, Randall, Salomon, Van De Wege, Warnick, Claire Wilson, Jeff Wilson",No Requester,9,6
